Referencia;Descripcion;Familia Padre;Familia;Subfamilia;Stock Fisico;Stock Operativo;Stock Comercial;Mar;Puerto;Despachado
07735;"Colchón Flow Original 90x200";"Descanso";"Descanso";"Descanso";14;14;14;0;0;3
07737;"Colchón Flow Original 135x190";"Descanso";"Descanso";"Descanso";42;42;42;0;0;0
07740;"Colchón Flow Hybrid 90x190";"Descanso";"Descanso";"Descanso";31;31;31;0;0;0
07743;"Colchón Flow Hybrid 135x190";"Descanso";"Descanso";"Descanso";22;22;22;0;0;0
07744;"Colchón Flow Hybrid 150x190";"Descanso";"Descanso";"Descanso";24;24;24;0;0;0
07746;"Colchón Flow Two 90x190";"Descanso";"Descanso";"Descanso";53;53;53;0;0;0
07749;"Colchón Flow Two 135x190";"Descanso";"Descanso";"Descanso";8;8;8;0;0;0
07750;"Colchón Flow Two 150x190";"Descanso";"Descanso";"Descanso";16;16;16;0;0;0
07752;"Colchón Flow Genuine 90x190";"Descanso";"Descanso";"Descanso";39;39;39;0;0;0
07756;"Colchón Flow Genuine 150x190";"Descanso";"Descanso";"Descanso";16;16;16;0;0;0
07757;"Colchón Flow Genuine 150x200";"Descanso";"Descanso";"Descanso";21;21;21;0;0;0
07758;"Colchón Flow e-Hybrid 90x190";"Descanso";"Descanso";"Descanso";12;12;12;0;0;0
07760;"Colchón Flow e-Hybrid 105X190";"Descanso";"Descanso";"Descanso";26;26;26;0;0;0
02279;"My master frutti";"Pendiente Clasificación";"Pendiente Clasificación";"Pendiente Clasificación";13;13;13;0;0;0
01508;"Power matic-ccino 8000 touch serie bianco";"PAE Cocina";"Cafeteras";"Cafeteras superautomáticas";0;0;0;0;0;0
04168;"Batidora amasadora Twist&Fusion 2500 Luxury White";"PAE Cocina";"Batidoras";"Batidoras amasadoras";0;0;0;0;0;0
05744;"Aspirador de sólidos y líquidos Conga Wet&Dry";"Aspiración y Limpieza";"Aspiradores trineo";"Aspiradores Wet&Dry";24;24;24;0;0;0
04434;"Depiladora de arranque Bamba SkinCare Depil-Action Sensitive Pro";"Cuidado personal";"Depiladoras";"Depiladoras de arranque";0;0;0;0;0;0
02805;"Bolero Hexa C126000B";"GAE";"Hornos integrables";"Hornos Convencionales";0;0;0;0;0;0
02289;"Bolero Hexa C126000 Mirror A";"GAE";"Hornos integrables";"Hornos Convencionales";0;0;0;0;0;0
02290;"Bolero Hexa C126000 Black A";"GAE";"Hornos integrables";"Hornos Convencionales";0;0;0;0;0;0
02291;"Bolero Hexa C136000 Mirror Time A";"GAE";"Hornos integrables";"Hornos Convencionales";0;0;0;0;0;0
02292;"Bolero Hexa C136000 Glass Black Time A";"GAE";"Hornos integrables";"Hornos Convencionales";0;0;0;0;0;0
02813;"Bolero Hexa AF316000 Line A";"GAE";"Hornos integrables";"Hornos Convencionales";0;0;0;0;0;0
02814;"Bolero Hexa AF316000 Matt A";"GAE";"Hornos integrables";"Hornos Convencionales";0;0;0;0;0;0
02816;"Bolero Hexa AF316000 Glass White A";"GAE";"Hornos integrables";"Hornos Convencionales";0;0;0;0;0;0
02817;"Bolero Hexa AF316000 Glass Grey A";"GAE";"Hornos integrables";"Hornos Convencionales";0;0;0;0;0;0
02818;"Bolero Hexa P506000 Line Connected A+";"GAE";"Hornos integrables";"Hornos Convencionales";0;0;0;0;0;0
02819;"Bolero Hexa P506000 Matt Connected A+";"GAE";"Hornos integrables";"Hornos Convencionales";0;0;0;0;0;0
02821;"Bolero Hexa S616000 Line TFT Connected A+";"GAE";"Hornos integrables";"Hornos Convencionales";0;0;0;0;0;0
02822;"Bolero Hexa S616000 Matt TFT Connected A+";"GAE";"Hornos integrables";"Hornos Convencionales";0;0;0;0;0;0
02824;"Bolero Hexa C134500 Inox A";"GAE";"Hornos integrables";"Hornos Convencionales";0;0;0;0;0;0
02826;"Bolero Hexa AF314500 Matt A";"GAE";"Hornos integrables";"Hornos Convencionales";0;0;0;0;0;0
02827;"Bolero Hexa AF319000 Inox A";"GAE";"Hornos integrables";"Hornos Convencionales";0;0;0;0;0;0
02856;"Flux CM 602200 White B";"GAE";"Campanas";"Campanas encastrables convencional";0;0;0;0;0;0
02857;"Flux CM 602200 Black B";"GAE";"Campanas";"Campanas encastrables convencional";0;0;0;0;0;0
